Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Firefox 66.0,,2019-05-07 12:22:06,2019-05-07 12:22:54,48.163s,FAILED
,,,,,,
Test Cases/Project_Regression_Sprint2_Release1.O/Verify user can able to create a lead and convert to opportunity,Firefox 66.0,,2019-05-07 12:22:06,2019-05-07 12:22:52,45.625s,FAILED
"openBrowser("""")",Firefox 66.0,,2019-05-07 12:22:07,2019-05-07 12:22:13,6.537s,PASSED
navigateToUrl(Application_URL),Firefox 66.0,,2019-05-07 12:22:13,2019-05-07 12:22:21,7.438s,PASSED
maximizeWindow(),Firefox 66.0,,2019-05-07 12:22:21,2019-05-07 12:22:21,0.024s,PASSED
"waitForElementPresent(findTestObject(""LoginPage_WebElements/username""), 10)",Firefox 66.0,,2019-05-07 12:22:21,2019-05-07 12:22:21,0.040s,PASSED
"click(findTestObject(""LoginPage_WebElements/username""))",Firefox 66.0,,2019-05-07 12:22:21,2019-05-07 12:22:21,0.242s,PASSED
"sendKeys(findTestObject(""LoginPage_WebElements/username""), Username)",Firefox 66.0,,2019-05-07 12:22:21,2019-05-07 12:22:21,0.112s,PASSED
"sendKeys(findTestObject(""Object Repository/LoginPage_WebElements/password""), Password)",Firefox 66.0,,2019-05-07 12:22:21,2019-05-07 12:22:21,0.056s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/LoginPage_WebElements/Login""), 10)",Firefox 66.0,,2019-05-07 12:22:21,2019-05-07 12:22:21,0.132s,PASSED
"click(findTestObject(""Object Repository/LoginPage_WebElements/Login""))",Firefox 66.0,,2019-05-07 12:22:21,2019-05-07 12:22:23,1.536s,PASSED
"println(""User logged in salesforce application successfully"")",Firefox 66.0,,2019-05-07 12:22:23,2019-05-07 12:22:23,0.002s,PASSED
"println(""Creating the Lead "")",Firefox 66.0,,2019-05-07 12:22:23,2019-05-07 12:22:23,0.001s,PASSED
Thread.sleep(5000),Firefox 66.0,,2019-05-07 12:22:23,2019-05-07 12:22:28,5.006s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/LeadPage_WebElements/Leads_HomeButton""), 50)",Firefox 66.0,,2019-05-07 12:22:28,2019-05-07 12:22:28,0.034s,PASSED
"click(findTestObject(""Object Repository/LeadPage_WebElements/Leads_HomeButton""))",Firefox 66.0,,2019-05-07 12:22:28,2019-05-07 12:22:28,0.417s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/LeadPage_WebElements/Lead_New Button""), 20)",Firefox 66.0,,2019-05-07 12:22:28,2019-05-07 12:22:30,1.950s,PASSED
"click(findTestObject(""Object Repository/LeadPage_WebElements/Lead_New Button""))",Firefox 66.0,,2019-05-07 12:22:30,2019-05-07 12:22:30,0.251s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/LeadPage_WebElements/Salutation""), 20)",Firefox 66.0,,2019-05-07 12:22:30,2019-05-07 12:22:32,1.263s,PASSED
"click(findTestObject(""Object Repository/LeadPage_WebElements/Salutation""))",Firefox 66.0,,2019-05-07 12:22:32,2019-05-07 12:22:32,0.271s,PASSED
delay(2),Firefox 66.0,,2019-05-07 12:22:32,2019-05-07 12:22:34,2.028s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/LeadPage_WebElements/Salutation_Selection""), 20)",Firefox 66.0,,2019-05-07 12:22:34,2019-05-07 12:22:34,0.013s,PASSED
"click(findTestObject(""Object Repository/LeadPage_WebElements/Salutation_Selection""))",Firefox 66.0,,2019-05-07 12:22:34,2019-05-07 12:22:34,0.267s,PASSED
delay(1),Firefox 66.0,,2019-05-07 12:22:34,2019-05-07 12:22:35,1.004s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/LeadPage_WebElements/FirstName""), 5)",Firefox 66.0,,2019-05-07 12:22:35,2019-05-07 12:22:35,0.048s,PASSED
"sendKeys(findTestObject(""LeadPage_WebElements/FirstName""), findTestData(""Project_TestDataSheet/TestData"").getValue(2, 1))",Firefox 66.0,,2019-05-07 12:22:35,2019-05-07 12:22:36,0.569s,PASSED
"sendKeys(findTestObject(""Object Repository/LeadPage_WebElements/LastName""), findTestData(""Project_TestDataSheet/TestData"").getValue(3, 1))",Firefox 66.0,,2019-05-07 12:22:36,2019-05-07 12:22:36,0.102s,PASSED
"scrollToElement(findTestObject(""Object Repository/LeadPage_WebElements/Company""), 10)",Firefox 66.0,,2019-05-07 12:22:36,2019-05-07 12:22:36,0.028s,PASSED
"sendKeys(findTestObject(""Object Repository/LeadPage_WebElements/Company""), findTestData(""Project_TestDataSheet/TestData"").getValue(4, 1))",Firefox 66.0,,2019-05-07 12:22:36,2019-05-07 12:22:36,0.123s,PASSED
"sendKeys(findTestObject(""Object Repository/LeadPage_WebElements/Email""), findTestData(""Project_TestDataSheet/TestData"").getValue(5, 1))",Firefox 66.0,,2019-05-07 12:22:36,2019-05-07 12:22:36,0.149s,PASSED
delay(2),Firefox 66.0,,2019-05-07 12:22:36,2019-05-07 12:22:38,2.003s,PASSED
"click(findTestObject(""Object Repository/LeadPage_WebElements/Save""))",Firefox 66.0,,2019-05-07 12:22:38,2019-05-07 12:22:39,0.264s,PASSED
"println(""Lead Converting to Account And Opportunity"")",Firefox 66.0,,2019-05-07 12:22:39,2019-05-07 12:22:39,0.001s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/LeadConversion_WebElements/ConvertIcon""), 20)",Firefox 66.0,,2019-05-07 12:22:39,2019-05-07 12:22:48,9.622s,PASSED
"click(findTestObject(""Object Repository/LeadConversion_WebElements/ConvertIcon""))",Firefox 66.0,,2019-05-07 12:22:48,2019-05-07 12:22:48,0.250s,PASSED
delay(2),Firefox 66.0,,2019-05-07 12:22:48,2019-05-07 12:22:50,2.016s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/LeadConversion_WebElements/ClickConvert""), 10)",Firefox 66.0,,2019-05-07 12:22:50,2019-05-07 12:22:50,0.023s,PASSED
"click(findTestObject(""Object Repository/LeadConversion_WebElements/ClickConvert""))",Firefox 66.0,,2019-05-07 12:22:50,2019-05-07 12:22:51,0.266s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/LeadConversion_WebElements/Convert_Button""), 20)",Firefox 66.0,,2019-05-07 12:22:51,2019-05-07 12:22:52,0.794s,PASSED
"for ([i = 0, i <= 3, (i++)])",Firefox 66.0,,2019-05-07 12:22:52,2019-05-07 12:22:52,0.262s,PASSED
"click(findTestObject(""Object Repository/LeadConversion_WebElements/Convert_Button""))",Firefox 66.0,,2019-05-07 12:22:52,2019-05-07 12:22:52,0.169s,FAILED
