Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Firefox 66.0,,2019-05-07 13:05:29,2019-05-07 13:06:18,48.724s,PASSED
,,,,,,
Test Cases/Project_Regression_Sprint2_Release1.O/Verify user can able to create a lead and convert to opportunity,Firefox 66.0,,2019-05-07 13:05:29,2019-05-07 13:06:14,44.918s,PASSED
"openBrowser("""")",Firefox 66.0,,2019-05-07 13:05:30,2019-05-07 13:05:36,6.669s,PASSED
navigateToUrl(Application_URL),Firefox 66.0,,2019-05-07 13:05:36,2019-05-07 13:05:39,2.743s,PASSED
maximizeWindow(),Firefox 66.0,,2019-05-07 13:05:39,2019-05-07 13:05:39,0.021s,PASSED
"waitForElementPresent(findTestObject(""LoginPage_WebElements/username""), 10)",Firefox 66.0,,2019-05-07 13:05:39,2019-05-07 13:05:39,0.037s,PASSED
"click(findTestObject(""LoginPage_WebElements/username""))",Firefox 66.0,,2019-05-07 13:05:39,2019-05-07 13:05:39,0.235s,PASSED
"sendKeys(findTestObject(""LoginPage_WebElements/username""), Username)",Firefox 66.0,,2019-05-07 13:05:39,2019-05-07 13:05:39,0.143s,PASSED
"sendKeys(findTestObject(""Object Repository/LoginPage_WebElements/password""), Password)",Firefox 66.0,,2019-05-07 13:05:39,2019-05-07 13:05:39,0.036s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/LoginPage_WebElements/Login""), 10)",Firefox 66.0,,2019-05-07 13:05:39,2019-05-07 13:05:40,0.068s,PASSED
"click(findTestObject(""Object Repository/LoginPage_WebElements/Login""))",Firefox 66.0,,2019-05-07 13:05:40,2019-05-07 13:05:41,1.533s,PASSED
"println(""User logged in salesforce application successfully"")",Firefox 66.0,,2019-05-07 13:05:41,2019-05-07 13:05:41,0.003s,PASSED
"println(""Creating the Lead "")",Firefox 66.0,,2019-05-07 13:05:41,2019-05-07 13:05:41,0.001s,PASSED
Thread.sleep(5000),Firefox 66.0,,2019-05-07 13:05:41,2019-05-07 13:05:46,5.007s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/LeadPage_WebElements/Leads_HomeButton""), 50)",Firefox 66.0,,2019-05-07 13:05:46,2019-05-07 13:06:01,14.930s,PASSED
"click(findTestObject(""Object Repository/LeadPage_WebElements/Leads_HomeButton""))",Firefox 66.0,,2019-05-07 13:06:01,2019-05-07 13:06:01,0.347s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/LeadPage_WebElements/Lead_New Button""), 20)",Firefox 66.0,,2019-05-07 13:06:01,2019-05-07 13:06:03,1.758s,PASSED
"click(findTestObject(""Object Repository/LeadPage_WebElements/Lead_New Button""))",Firefox 66.0,,2019-05-07 13:06:03,2019-05-07 13:06:03,0.233s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/LeadPage_WebElements/Salutation""), 20)",Firefox 66.0,,2019-05-07 13:06:03,2019-05-07 13:06:05,1.894s,PASSED
"click(findTestObject(""Object Repository/LeadPage_WebElements/Salutation""))",Firefox 66.0,,2019-05-07 13:06:05,2019-05-07 13:06:06,0.309s,PASSED
delay(2),Firefox 66.0,,2019-05-07 13:06:06,2019-05-07 13:06:08,2.016s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/LeadPage_WebElements/Salutation_Selection""), 20)",Firefox 66.0,,2019-05-07 13:06:08,2019-05-07 13:06:09,1.002s,PASSED
"click(findTestObject(""Object Repository/LeadPage_WebElements/Salutation_Selection""))",Firefox 66.0,,2019-05-07 13:06:09,2019-05-07 13:06:09,0.254s,PASSED
delay(1),Firefox 66.0,,2019-05-07 13:06:09,2019-05-07 13:06:10,1.053s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/LeadPage_WebElements/FirstName""), 5)",Firefox 66.0,,2019-05-07 13:06:10,2019-05-07 13:06:10,0.097s,PASSED
"sendKeys(findTestObject(""LeadPage_WebElements/FirstName""), findTestData(""Project_TestDataSheet/TestData"").getValue(2, 1))",Firefox 66.0,,2019-05-07 13:06:10,2019-05-07 13:06:10,0.522s,PASSED
"sendKeys(findTestObject(""Object Repository/LeadPage_WebElements/LastName""), findTestData(""Project_TestDataSheet/TestData"").getValue(3, 1))",Firefox 66.0,,2019-05-07 13:06:10,2019-05-07 13:06:11,0.108s,PASSED
"scrollToElement(findTestObject(""Object Repository/LeadPage_WebElements/Company""), 10)",Firefox 66.0,,2019-05-07 13:06:11,2019-05-07 13:06:11,0.028s,PASSED
"sendKeys(findTestObject(""Object Repository/LeadPage_WebElements/Company""), findTestData(""Project_TestDataSheet/TestData"").getValue(4, 1))",Firefox 66.0,,2019-05-07 13:06:11,2019-05-07 13:06:11,0.113s,PASSED
"sendKeys(findTestObject(""Object Repository/LeadPage_WebElements/Email""), findTestData(""Project_TestDataSheet/TestData"").getValue(5, 1))",Firefox 66.0,,2019-05-07 13:06:11,2019-05-07 13:06:11,0.113s,PASSED
delay(2),Firefox 66.0,,2019-05-07 13:06:11,2019-05-07 13:06:13,2.002s,PASSED
delay(1),Firefox 66.0,,2019-05-07 13:06:13,2019-05-07 13:06:14,1.002s,PASSED
"click(findTestObject(""Object Repository/LeadPage_WebElements/Save""))",Firefox 66.0,,2019-05-07 13:06:14,2019-05-07 13:06:14,0.293s,PASSED
